braid,khovanov_homology,free_part,torsion_part,free_part_count,torsion_part_count,total_num_FP_per_row,total_num_FP_per_column,jones_polynomial
"[-2, 1, -2, -3, -3, 2, -3, 2, 2]","{-11: {-5: 0, -4: 0, -3: 0}, -9: {-5: 0, -4: 0, -3: Z, -2: 0, -1: 0}, -7: {-5: 0, -4: 0, -3: 0, -2: C2, -1: 0, 0: 0, 1: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: Z, -1: 0, 0: 0, 1: 0, 2: 0}, -3: {-5: 0, -4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0}, -1: {-5: 0, -4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0, 4: 0}, 1: {-4: 0, -3: 0, -2: 0, -1: 0, 0: 0, 1: 0, 2: 0, 3: 0, 4: 0}, 3: {-3: 0, -2: 0, -1: 0, 0: 0, 1: 0, 2: 0, 3: 0, 4: 0}, 5: {-1: 0, 0: 0, 1: 0, 2: 0, 3: 0, 4: 0}, 7: {1: 0, 2: 0, 3: 0, 4: 0}}","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}","[[-1, -4], [1, -3], [1, -1]]"
"[3, -2, 1, -2, 3, 3, 1, 1, 1]","{-1: {-2: Z}, 1: {-2: 0, -1: C2, 0: 0, 1: 0}, 3: {-2: 0, -1: Z, 0: Z x Z x Z, 1: 0, 2: 0, 3: 0, 4: 0}, 5: {-2: 0, -1: 0, 0: Z, 1: Z x Z x C2 x C2, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0}, 7: {-2: 0, -1: 0, 0: 0, 1: Z x Z, 2: Z x Z x Z x C2 x C2, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0}, 9: {0: 0, 1: 0, 2: Z x Z, 3: Z x Z x Z x C2 x C2 x C2, 4: 0, 5: 0, 6: 0, 7: 0}, 11: {1: 0, 2: 0, 3: Z x Z x Z, 4: Z x Z x C2 x C2 x C2, 5: 0, 6: 0, 7: 0}, 13: {3: 0, 4: Z x Z x Z, 5: Z x Z x C2 x C2, 6: 0, 7: 0}, 15: {4: 0, 5: Z x Z, 6: Z x C2 x C2, 7: 0}, 17: {6: Z x Z, 7: C2}, 19: {7: Z}}","{(-1, -2): 1, (3, -1): 1, (3, 0): 3, (5, 0): 1, (5, 1): 2, (7, 1): 2, (7, 2): 3, (9, 2): 2, (9, 3): 3, (11, 3): 3, (11, 4): 2, (13, 4): 3, (13, 5): 2, (15, 5): 2, (15, 6): 1, (17, 6): 2, (19, 7): 1}","{(1, -1): {2: 1}, (5, 1): {2: 2}, (7, 2): {2: 2}, (9, 3): {2: 3}, (11, 4): {2: 3}, (13, 5): {2: 2}, (15, 6): {2: 2}, (17, 7): {2: 1}}",34,16,"{-1: 1, 3: 4, 5: 3, 7: 5, 9: 5, 11: 5, 13: 5, 15: 3, 17: 2, 19: 1}","{-2: 1, -1: 1, 0: 4, 1: 4, 2: 5, 3: 6, 4: 5, 5: 4, 6: 3, 7: 1}","[[1, 0], [-1, 1], [3, 2], [-4, 3], [5, 4], [-6, 5], [5, 6], [-4, 7], [3, 8], [-1, 9]]"
"[3, -2, -1, 2, -3, -3, -1, -1, -2]","{-17: {-7: Z}, -15: {-7: 0, -6: C2, -5: 0, -4: 0}, -13: {-7: 0, -6: Z, -5: Z, -4: 0, -3: 0}, -11: {-7: 0, -6: 0, -5: 0, -4: Z x C2, -3: 0, -2: 0, -1: 0}, -9: {-7: 0, -6: 0, -5: 0, -4: Z, -3: Z x C2, -2: 0, -1: 0, 0: 0}, -7: {-7: 0, -6: 0, -5: 0, -4: 0, -3: Z, -2: Z x C2, -1: 0, 0: 0, 1: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: Z, -1: C2, 0: 0, 1: 0, 2: 0}, -3: {-4: 0, -3: 0, -2: 0, -1: Z, 0: Z, 1: 0, 2: 0}, -1: {-1: 0, 0: Z, 1: 0, 2: 0}}","{(-17, -7): 1, (-13, -6): 1, (-13, -5): 1, (-11, -4): 1, (-9, -4): 1, (-9, -3): 1, (-7, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-15, -6): {2: 1}, (-11, -4): {2: 1}, (-9, -3): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",12,5,"{-17: 1, -13: 2, -11: 1, -9: 2, -7: 2, -5: 1, -3: 2, -1: 1}","{-7: 1, -6: 1, -5: 1, -4: 2, -3: 2, -2: 2, -1: 1, 0: 2}","[[-1, -8], [1, -7], [-1, -6], [2, -5], [-2, -4], [2, -3], [-1, -2], [1, -1]]"
"[2, 2, 3, 2, 3, 3, 3, 1, 3]","{5: {0: Z}, 7: {0: Z, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}, 9: {0: 0, 1: 0, 2: Z, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0}, 11: {0: 0, 1: 0, 2: 0, 3: C2, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0}, 13: {0: 0, 1: 0, 2: 0, 3: Z, 4: Z, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0}, 15: {2: 0, 3: 0, 4: 0, 5: C2, 6: 0, 7: 0, 8: 0, 9: 0}, 17: {3: 0, 4: 0, 5: Z, 6: Z, 7: 0, 8: 0, 9: 0}, 19: {4: 0, 5: 0, 6: 0, 7: C2, 8: 0, 9: 0}, 21: {5: 0, 6: 0, 7: Z, 8: 0, 9: 0}, 23: {7: 0, 8: 0, 9: 0}}","{(5, 0): 1, (7, 0): 1, (9, 2): 1, (13, 3): 1, (13, 4): 1, (17, 5): 1, (17, 6): 1, (21, 7): 1}","{(11, 3): {2: 1}, (15, 5): {2: 1}, (19, 7): {2: 1}}",8,3,"{5: 1, 7: 1, 9: 1, 13: 2, 17: 2, 21: 1}","{0: 2, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1}","[[1, 3], [1, 5], [-1, 6], [1, 7], [-1, 8], [1, 9], [-1, 10]]"
"[3, -1, -1, -2, -1, -2, 1, 3, -2]","{-13: {-6: 0, -5: Z}, -11: {-6: 0, -5: 0, -4: Z x C2, -3: 0, -2: 0}, -9: {-6: 0, -5: 0, -4: Z, -3: Z x C2, -2: 0, -1: 0, 0: 0}, -7: {-6: 0, -5: 0, -4: 0, -3: Z, -2: Z x Z x C2, -1: 0, 0: 0, 1: 0}, -5: {-6: 0, -5: 0, -4: 0, -3: 0, -2: Z, -1: Z x C2 x C2, 0: 0, 1: 0, 2: 0}, -3: {-5: 0, -4: 0, -3: 0, -2: 0, -1: Z x Z, 0: Z x C2, 1: 0, 2: 0, 3: 0}, -1: {-3: 0, -2: 0, -1: 0, 0: Z x Z, 1: Z, 2: 0, 3: 0}, 1: {-2: 0, -1: 0, 0: 0, 1: 0, 2: C2, 3: 0}, 3: {0: 0, 1: 0, 2: Z, 3: 0}}","{(-13, -5): 1, (-11, -4): 1, (-9, -4): 1, (-9, -3): 1, (-7, -3): 1, (-7, -2): 2, (-5, -2): 1, (-5, -1): 1, (-3, -1): 2, (-3, 0): 1, (-1, 0): 2, (-1, 1): 1, (3, 2): 1}","{(-11, -4): {2: 1}, (-9, -3): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 2}, (-3, 0): {2: 1}, (1, 2): {2: 1}}",16,7,"{-13: 1, -11: 1, -9: 2, -7: 3, -5: 2, -3: 3, -1: 3, 3: 1}","{-5: 1, -4: 2, -3: 2, -2: 3, -1: 3, 0: 3, 1: 1, 2: 1}","[[-1, -6], [2, -5], [-2, -4], [3, -3], [-3, -2], [2, -1], [-1, 0], [1, 1]]"
"[2, 1, 1, 2, -3, -3, 2, 3, 1]","{-1: {-2: 0, -1: 0}, 1: {-2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, 3: {-2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0}, 5: {-2: 0, -1: 0, 0: 0, 1: 0, 2: Z, 3: 0, 4: 0, 5: 0}, 7: {-2: 0, -1: 0, 0: 0, 1: 0, 2: 0, 3: C2, 4: 0, 5: 0, 6: 0}, 9: {-1: 0, 0: 0, 1: 0, 2: 0, 3: Z, 4: 0, 5: 0, 6: 0, 7: 0}, 11: {1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0}, 13: {2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0}, 15: {5: 0, 6: 0, 7: 0}}","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}","[[1, 1], [1, 3], [-1, 4]]"
"[3, 3, 1, 1, 2, 3, 2, 1, 2]","{5: {0: Z}, 7: {0: Z, 1: 0, 2: 0, 3: 0}, 9: {0: 0, 1: 0, 2: Z, 3: 0, 4: 0, 5: 0, 6: 0}, 11: {0: 0, 1: 0, 2: 0, 3: C2, 4: 0, 5: 0, 6: 0, 7: 0}, 13: {0: 0, 1: 0, 2: 0, 3: Z, 4: Z, 5: 0, 6: 0, 7: 0, 8: 0}, 15: {2: 0, 3: 0, 4: 0, 5: C2, 6: 0, 7: 0, 8: 0, 9: 0}, 17: {3: 0, 4: 0, 5: Z, 6: Z, 7: 0, 8: 0, 9: 0}, 19: {5: 0, 6: 0, 7: C2, 8: 0, 9: 0}, 21: {6: 0, 7: Z, 8: 0, 9: 0}}","{(5, 0): 1, (7, 0): 1, (9, 2): 1, (13, 3): 1, (13, 4): 1, (17, 5): 1, (17, 6): 1, (21, 7): 1}","{(11, 3): {2: 1}, (15, 5): {2: 1}, (19, 7): {2: 1}}",8,3,"{5: 1, 7: 1, 9: 1, 13: 2, 17: 2, 21: 1}","{0: 2, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1}","[[1, 3], [1, 5], [-1, 6], [1, 7], [-1, 8], [1, 9], [-1, 10]]"
"[-2, 1, 1, -2, -1, -1, 2, 1, 3]","{-7: {-4: 0, -3: Z}, -5: {-4: 0, -3: 0, -2: C2, -1: 0, 0: 0, 1: 0}, -3: {-4: 0, -3: 0, -2: Z, -1: Z, 0: 0, 1: 0, 2: 0}, -1: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z x Z x C2, 1: 0, 2: 0, 3: 0}, 1: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z x Z, 1: C2, 2: 0, 3: 0, 4: 0}, 3: {-3: 0, -2: 0, -1: 0, 0: 0, 1: Z, 2: Z, 3: 0, 4: 0, 5: 0}, 5: {-1: 0, 0: 0, 1: 0, 2: 0, 3: C2, 4: 0, 5: 0}, 7: {0: 0, 1: 0, 2: 0, 3: Z, 4: 0, 5: 0}, 9: {1: 0, 2: 0, 3: 0, 4: 0, 5: 0}}","{(-7, -3): 1, (-3, -2): 1, (-3, -1): 1, (-1, 0): 2, (1, 0): 2, (3, 1): 1, (3, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (5, 3): {2: 1}}",10,4,"{-7: 1, -3: 2, -1: 2, 1: 2, 3: 2, 7: 1}","{-3: 1, -2: 1, -1: 1, 0: 4, 1: 1, 2: 1, 3: 1}","[[-1, -3], [1, -2], [-1, -1], [3, 0], [-1, 1], [1, 2], [-1, 3]]"
"[-2, -3, -2, -3, 2, -3, 2, 1, -3]","{-13: {-6: 0, -5: Z, -4: 0}, -11: {-6: 0, -5: 0, -4: C2, -3: 0}, -9: {-6: 0, -5: 0, -4: Z, -3: Z, -2: 0, -1: 0, 0: 0}, -7: {-6: 0, -5: 0, -4: 0, -3: 0, -2: Z x C2, -1: 0, 0: 0, 1: 0}, -5: {-6: 0, -5: 0, -4: 0, -3: 0, -2: Z, -1: C2, 0: 0, 1: 0, 2: 0}, -3: {-5: 0, -4: 0, -3: 0, -2: 0, -1: Z, 0: Z, 1: 0, 2: 0, 3: 0}, -1: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0}, 1: {-1: 0, 0: 0, 1: 0, 2: 0, 3: 0}, 3: {0: 0, 1: 0, 2: 0, 3: 0}}","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3,"{-13: 1, -9: 2, -7: 1, -5: 1, -3: 2, -1: 1}","{-5: 1, -4: 1, -3: 1, -2: 2, -1: 1, 0: 2}","[[-1, -6], [1, -5], [-1, -4], [2, -3], [-1, -2], [1, -1]]"
"[-2, 1, 3, -2, 3, 1, 2, 2, 1]","{-1: {-2: 0, -1: 0, 0: 0}, 1: {-2: 0, -1: 0, 0: Z x Z, 1: 0}, 3: {-2: 0, -1: 0, 0: Z, 1: Z x Z x C2, 2: 0, 3: 0}, 5: {-2: 0, -1: 0, 0: 0, 1: Z, 2: Z x Z x C2 x C2, 3: 0, 4: 0, 5: 0}, 7: {-2: 0, -1: 0, 0: 0, 1: 0, 2: Z x Z, 3: Z x Z x C2 x C2, 4: 0, 5: 0, 6: 0, 7: 0}, 9: {-1: 0, 0: 0, 1: 0, 2: 0, 3: Z x Z, 4: Z x Z x C2 x C2, 5: 0, 6: 0, 7: 0}, 11: {0: 0, 1: 0, 2: 0, 3: 0, 4: Z x Z, 5: Z x C2 x C2, 6: 0, 7: 0}, 13: {3: 0, 4: 0, 5: Z x Z, 6: Z x C2, 7: 0}, 15: {5: 0, 6: Z, 7: C2}, 17: {7: Z}}","{(1, 0): 2, (3, 0): 1, (3, 1): 2, (5, 1): 1, (5, 2): 2, (7, 2): 2, (7, 3): 2, (9, 3): 2, (9, 4): 2, (11, 4): 2, (11, 5): 1, (13, 5): 2, (13, 6): 1, (15, 6): 1, (17, 7): 1}","{(3, 1): {2: 1}, (5, 2): {2: 2}, (7, 3): {2: 2}, (9, 4): {2: 2}, (11, 5): {2: 2}, (13, 6): {2: 1}, (15, 7): {2: 1}}",24,11,"{1: 2, 3: 3, 5: 3, 7: 4, 9: 4, 11: 3, 13: 3, 15: 1, 17: 1}","{0: 3, 1: 3, 2: 4, 3: 4, 4: 4, 5: 3, 6: 2, 7: 1}","[[2, 1], [-3, 2], [4, 3], [-4, 4], [4, 5], [-3, 6], [2, 7], [-1, 8]]"
"[1, -2, -2, -2, -3, -3, 1, -3, -2]","{-19: {-7: Z}, -17: {-7: 0, -6: Z x Z x C2}, -15: {-7: 0, -6: Z, -5: Z x Z x C2 x C2, -4: 0}, -13: {-7: 0, -6: 0, -5: Z x Z, -4: Z x Z x Z x C2 x C2, -3: 0}, -11: {-7: 0, -6: 0, -5: 0, -4: Z x Z, -3: Z x Z x Z x C2 x C2 x C2, -2: 0, -1: 0}, -9: {-7: 0, -6: 0, -5: 0, -4: 0, -3: Z x Z x Z, -2: Z x Z x C2 x C2 x C2, -1: 0, 0: 0}, -7: {-7: 0, -6: 0, -5: 0, -4: 0, -3: 0, -2: Z x Z x Z, -1: Z x Z x C2 x C2, 0: 0, 1: 0, 2: 0}, -5: {-7: 0, -6: 0, -5: 0, -4: 0, -3: 0, -2: 0, -1: Z x Z, 0: Z x C2 x C2, 1: 0, 2: 0}, -3: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z x Z x Z, 1: Z, 2: 0}, -1: {-1: 0, 0: 0, 1: 0, 2: C2}, 1: {2: Z}}","{(-19, -7): 1, (-17, -6): 2, (-15, -6): 1, (-15, -5): 2, (-13, -5): 2, (-13, -4): 3, (-11, -4): 2, (-11, -3): 3, (-9, -3): 3, (-9, -2): 2, (-7, -2): 3, (-7, -1): 2, (-5, -1): 2, (-5, 0): 1, (-3, 0): 3, (-3, 1): 1, (1, 2): 1}","{(-17, -6): {2: 1}, (-15, -5): {2: 2}, (-13, -4): {2: 2}, (-11, -3): {2: 3}, (-9, -2): {2: 3}, (-7, -1): {2: 2}, (-5, 0): {2: 2}, (-1, 2): {2: 1}}",34,16,"{-19: 1, -17: 2, -15: 3, -13: 5, -11: 5, -9: 5, -7: 5, -5: 3, -3: 4, 1: 1}","{-7: 1, -6: 3, -5: 4, -4: 5, -3: 6, -2: 5, -1: 4, 0: 4, 1: 1, 2: 1}","[[-1, -9], [3, -8], [-4, -7], [5, -6], [-6, -5], [5, -4], [-4, -3], [3, -2], [-1, -1], [1, 0]]"
"[2, -3, -2, -3, 2, -3, -1, -2, -3]","{-15: {-7: 0, -6: 0, -5: 0, -4: 0}, -13: {-7: 0, -6: 0, -5: 0, -4: 0, -3: 0}, -11: {-7: 0, -6: 0, -5: 0, -4: 0, -3: 0, -2: 0, -1: 0, 0: 0}, -9: {-7: 0, -6: 0, -5: 0, -4: 0, -3: Z, -2: 0, -1: 0, 0: 0, 1: 0}, -7: {-6: 0, -5: 0, -4: 0, -3: 0, -2: C2, -1: 0, 0: 0, 1: 0, 2: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: Z, -1: 0, 0: 0, 1: 0, 2: 0}, -3: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, -1: {-1: 0, 0: Z, 1: 0, 2: 0}, 1: {0: 0, 1: 0, 2: 0}}","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}","[[-1, -4], [1, -3], [1, -1]]"
"[1, -3, 2, 2, 3, 2, 3, 2, -3]","{-1: {-2: 0, -1: 0, 0: 0}, 1: {-2: 0, -1: 0, 0: Z, 1: 0, 2: 0}, 3: {-2: 0, -1: 0, 0: Z, 1: Z, 2: 0, 3: 0, 4: 0}, 5: {-2: 0, -1: 0, 0: 0, 1: 0, 2: Z x C2, 3: 0, 4: 0, 5: 0}, 7: {-2: 0, -1: 0, 0: 0, 1: 0, 2: Z, 3: C2, 4: 0, 5: 0, 6: 0}, 9: {-1: 0, 0: 0, 1: 0, 2: 0, 3: Z, 4: Z, 5: 0, 6: 0, 7: 0}, 11: {0: 0, 1: 0, 2: 0, 3: 0, 4: 0, 5: C2, 6: 0, 7: 0}, 13: {2: 0, 3: 0, 4: 0, 5: Z, 6: 0, 7: 0}, 15: {4: 0, 5: 0, 6: 0, 7: 0}}","{(1, 0): 1, (3, 0): 1, (3, 1): 1, (5, 2): 1, (7, 2): 1, (9, 3): 1, (9, 4): 1, (13, 5): 1}","{(5, 2): {2: 1}, (7, 3): {2: 1}, (11, 5): {2: 1}}",8,3,"{1: 1, 3: 2, 5: 1, 7: 1, 9: 2, 13: 1}","{0: 2, 1: 1, 2: 2, 3: 1, 4: 1, 5: 1}","[[1, 1], [-1, 2], [2, 3], [-1, 4], [1, 5], [-1, 6]]"
"[-3, 2, -3, 2, -3, -2, -1, -2, -3]","{-17: {-7: 0, -6: 0}, -15: {-7: 0, -6: Z, -5: 0, -4: 0}, -13: {-7: 0, -6: 0, -5: Z x C2, -4: 0, -3: 0, -2: 0}, -11: {-7: 0, -6: 0, -5: Z, -4: Z x C2, -3: 0, -2: 0, -1: 0, 0: 0}, -9: {-7: 0, -6: 0, -5: 0, -4: Z, -3: Z x Z x C2, -2: 0, -1: 0, 0: 0, 1: 0}, -7: {-7: 0, -6: 0, -5: 0, -4: 0, -3: Z, -2: Z x C2 x C2, -1: 0, 0: 0, 1: 0, 2: 0}, -5: {-6: 0, -5: 0, -4: 0, -3: 0, -2: Z x Z, -1: Z x C2, 0: 0, 1: 0, 2: 0}, -3: {-4: 0, -3: 0, -2: 0, -1: Z, 0: Z x C2, 1: 0, 2: 0}, -1: {-2: 0, -1: 0, 0: Z x Z, 1: 0, 2: 0}, 1: {0: 0, 1: 0, 2: 0}}","{(-15, -6): 1, (-13, -5): 1, (-11, -5): 1, (-11, -4): 1, (-9, -4): 1, (-9, -3): 2, (-7, -3): 1, (-7, -2): 1, (-5, -2): 2, (-5, -1): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 2}","{(-13, -5): {2: 1}, (-11, -4): {2: 1}, (-9, -3): {2: 1}, (-7, -2): {2: 2}, (-5, -1): {2: 1}, (-3, 0): {2: 1}}",16,7,"{-15: 1, -13: 1, -11: 2, -9: 3, -7: 2, -5: 3, -3: 2, -1: 2}","{-6: 1, -5: 2, -4: 2, -3: 3, -2: 3, -1: 2, 0: 3}","[[1, -7], [-2, -6], [2, -5], [-3, -4], [3, -3], [-2, -2], [2, -1]]"
"[-1, -2, 3, 1, -2, 3, -2, -2, 1]","{-11: {-5: 0, -4: Z}, -9: {-5: 0, -4: 0, -3: Z x C2, -2: 0}, -7: {-5: 0, -4: 0, -3: Z, -2: Z x C2, -1: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: Z, -1: Z x C2, 0: 0, 1: 0}, -3: {-5: 0, -4: 0, -3: 0, -2: 0, -1: Z, 0: Z x C2, 1: 0, 2: 0, 3: 0}, -1: {-5: 0, -4: 0, -3: 0, -2: 0, -1: 0, 0: Z x Z, 1: Z, 2: 0, 3: 0, 4: 0}, 1: {-4: 0, -3: 0, -2: 0, -1: 0, 0: 0, 1: 0, 2: C2, 3: 0, 4: 0}, 3: {-2: 0, -1: 0, 0: 0, 1: 0, 2: Z, 3: 0, 4: 0}, 5: {1: 0, 2: 0, 3: 0, 4: 0}, 7: {3: 0, 4: 0}}","{(-11, -4): 1, (-9, -3): 1, (-7, -3): 1, (-7, -2): 1, (-5, -2): 1, (-5, -1): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 2, (-1, 1): 1, (3, 2): 1}","{(-9, -3): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}, (-3, 0): {2: 1}, (1, 2): {2: 1}}",12,5,"{-11: 1, -9: 1, -7: 2, -5: 2, -3: 2, -1: 3, 3: 1}","{-4: 1, -3: 2, -2: 2, -1: 2, 0: 3, 1: 1, 2: 1}","[[1, -5], [-2, -4], [2, -3], [-2, -2], [2, -1], [-1, 0], [1, 1]]"
"[-3, -2, 1, 3, 1, -3, 1, -3, -2]","{-9: {-5: 0, -4: 0, -3: 0, -2: 0}, -7: {-5: 0, -4: 0, -3: Z, -2: 0, -1: 0, 0: 0, 1: 0}, -5: {-5: 0, -4: 0, -3: 0, -2: C2, -1: 0, 0: 0, 1: 0, 2: 0}, -3: {-5: 0, -4: 0, -3: 0, -2: Z, -1: Z, 0: 0, 1: 0, 2: 0, 3: 0}, -1: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z x Z x C2, 1: 0, 2: 0, 3: 0, 4: 0}, 1: {-3: 0, -2: 0, -1: 0, 0: Z x Z, 1: C2, 2: 0, 3: 0, 4: 0}, 3: {-2: 0, -1: 0, 0: 0, 1: Z, 2: Z, 3: 0, 4: 0}, 5: {0: 0, 1: 0, 2: 0, 3: C2, 4: 0}, 7: {1: 0, 2: 0, 3: Z, 4: 0}}","{(-7, -3): 1, (-3, -2): 1, (-3, -1): 1, (-1, 0): 2, (1, 0): 2, (3, 1): 1, (3, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (5, 3): {2: 1}}",10,4,"{-7: 1, -3: 2, -1: 2, 1: 2, 3: 2, 7: 1}","{-3: 1, -2: 1, -1: 1, 0: 4, 1: 1, 2: 1, 3: 1}","[[-1, -3], [1, -2], [-1, -1], [3, 0], [-1, 1], [1, 2], [-1, 3]]"
"[-3, -2, -2, -2, 1, 2, -3, 1, -3]","{-15: {-6: 0, -5: 0}, -13: {-6: 0, -5: 0, -4: 0}, -11: {-6: 0, -5: 0, -4: 0, -3: 0, -2: 0}, -9: {-6: 0, -5: 0, -4: 0, -3: Z, -2: 0, -1: 0}, -7: {-6: 0, -5: 0, -4: 0, -3: 0, -2: C2, -1: 0, 0: 0}, -5: {-6: 0, -5: 0, -4: 0, -3: 0, -2: Z, -1: 0, 0: 0, 1: 0, 2: 0}, -3: {-6: 0, -5: 0, -4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0}, -1: {-5: 0, -4: 0, -3: 0, -2: 0, -1: 0, 0: Z, 1: 0, 2: 0, 3: 0}, 1: {-2: 0, -1: 0, 0: 0, 1: 0, 2: 0, 3: 0}, 3: {2: 0, 3: 0}}","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}","[[-1, -4], [1, -3], [1, -1]]"
"[2, -3, -2, 1, 2, -3, 2, -3, 1]","{-7: {-4: 0, -3: Z}, -5: {-4: 0, -3: 0, -2: Z x Z x C2, -1: 0}, -3: {-4: 0, -3: 0, -2: Z, -1: Z x C2 x C2, 0: 0, 1: 0, 2: 0}, -1: {-4: 0, -3: 0, -2: 0, -1: Z x Z, 0: Z x Z x Z x C2, 1: 0, 2: 0, 3: 0}, 1: {-4: 0, -3: 0, -2: 0, -1: 0, 0: Z x Z, 1: Z x Z x C2 x C2, 2: 0, 3: 0, 4: 0}, 3: {-3: 0, -2: 0, -1: 0, 0: 0, 1: Z x Z, 2: Z x C2 x C2, 3: 0, 4: 0, 5: 0}, 5: {-1: 0, 0: 0, 1: 0, 2: Z x Z, 3: Z x C2, 4: 0, 5: 0}, 7: {1: 0, 2: 0, 3: Z, 4: C2, 5: 0}, 9: {2: 0, 3: 0, 4: Z, 5: 0}}","{(-7, -3): 1, (-5, -2): 2, (-3, -2): 1, (-3, -1): 1, (-1, -1): 2, (-1, 0): 3, (1, 0): 2, (1, 1): 2, (3, 1): 2, (3, 2): 1, (5, 2): 2, (5, 3): 1, (7, 3): 1, (9, 4): 1}","{(-5, -2): {2: 1}, (-3, -1): {2: 2}, (-1, 0): {2: 1}, (1, 1): {2: 2}, (3, 2): {2: 2}, (5, 3): {2: 1}, (7, 4): {2: 1}}",22,10,"{-7: 1, -5: 2, -3: 2, -1: 5, 1: 4, 3: 3, 5: 3, 7: 1, 9: 1}","{-3: 1, -2: 3, -1: 3, 0: 5, 1: 4, 2: 3, 3: 2, 4: 1}","[[-1, -3], [3, -2], [-3, -1], [4, 0], [-4, 1], [3, 2], [-2, 3], [1, 4]]"
